sample_index,t_ms,ax_raw,ay_raw,az_raw,gx_raw,gy_raw,gz_raw,calib_gx_bias_lsb,calib_gy_bias_lsb,calib_gz_bias_lsb,calib_g_T_x_lsb,calib_g_T_y_lsb,calib_g_T_z_lsb,calib_valid,source_path,source_size_bytes,received_at
0,30290,-982,-1174,3974,-284,-1295,111,-90.08200073242188,165.8560028076172,-48.154666900634766,-2267.359375,-1256.25732421875,2861.88525390625,True,/last_run.bin,120028,2026-05-20T01:51:51
1,30291,-721,-1932,3788,-545,-1612,98,-90.08200073242188,165.8560028076172,-48.154666900634766,-2267.359375,-1256.25732421875,2861.88525390625,True,/last_run.bin,120028,2026-05-20T01:51:51
2,30293,-979,-1848,3462,-666,-1912,40,-90.08200073242188,165.8560028076172,-48.154666900634766,-2267.359375,-1256.25732421875,2861.88525390625,True,/last_run.bin,120028,2026-05-20T01:51:51
3,30295,-944,-1611,3405,-784,-1963,44,-90.08200073242188,165.8560028076172,-48.154666900634766,-2267.359375,-1256.25732421875,2861.88525390625,True,/last_run.bin,120028,2026-05-20T01:51:51
4,30297,-890,-1556,3546,-844,-1964,81,-90.08200073242188,165.8560028076172,-48.154666900634766,-2267.359375,-1256.25732421875,2861.88525390625,True,/last_run.bin,120028,2026-05-20T01:51:51
5,30299,-834,-1534,3597,-868,-2003,107,-90.08200073242188,165.8560028076172,-48.154666900634766,-2267.359375,-1256.25732421875,2861.88525390625,True,/last_run.bin,120028,2026-05-20T01:51:51
6,30301,-779,-1546,3548,-850,-2059,137,-90.08200073242188,165.8560028076172,-48.154666900634766,-2267.359375,-1256.25732421875,2861.88525390625,True,/last_run.bin,120028,2026-05-20T01:51:51
7,30303,-756,-1456,3600,-759,-2074,175,-90.08200073242188,165.8560028076172,-48.154666900634766,-2267.359375,-1256.25732421875,2861.88525390625,True,/last_run.bin,120028,2026-05-20T01:51:51
8,30305,-767,-1593,3634,-601,-2093,253,-90.08200073242188,165.8560028076172,-48.154666900634766,-2267.359375,-1256.25732421875,2861.88525390625,True,/last_run.bin,120028,2026-05-20T01:51:51
9,30307,-636,-1717,3141,-651,-2147,216,-90.08200073242188,165.8560028076172,-48.154666900634766,-2267.359375,-1256.25732421875,2861.88525390625,True,/last_run.bin,120028,2026-05-20T01:51:51
10,30309,-538,-1650,2775,-659,-1979,171,-90.08200073242188,165.8560028076172,-48.154666900634766,-2267.359375,-1256.25732421875,2861.88525390625,True,/last_run.bin,120028,2026-05-20T01:51:51
11,30311,-539,-1615,2831,-616,-1666,158,-90.08200073242188,165.8560028076172,-48.154666900634766,-2267.359375,-1256.25732421875,2861.88525390625,True,/last_run.bin,120028,2026-05-20T01:51:51
12,30313,-588,-1602,3123,-594,-1396,135,-90.08200073242188,165.8560028076172,-48.154666900634766,-2267.359375,-1256.25732421875,2861.88525390625,True,/last_run.bin,120028,2026-05-20T01:51:51
13,30315,-614,-1578,3276,-598,-1237,103,-90.08200073242188,165.8560028076172,-48.154666900634766,-2267.359375,-1256.25732421875,2861.88525390625,True,/last_run.bin,120028,2026-05-20T01:51:51
14,30317,-615,-1550,3358,-594,-1132,86,-90.08200073242188,165.8560028076172,-48.154666900634766,-2267.359375,-1256.25732421875,2861.88525390625,True,/last_run.bin,120028,2026-05-20T01:51:51
15,30319,-615,-1567,3407,-569,-1054,82,-90.08200073242188,165.8560028076172,-48.154666900634766,-2267.359375,-1256.25732421875,2861.88525390625,True,/last_run.bin,120028,2026-05-20T01:51:51
16,30321,-589,-1569,3406,-562,-1002,74,-90.08200073242188,165.8560028076172,-48.154666900634766,-2267.359375,-1256.25732421875,2861.88525390625,True,/last_run.bin,120028,2026-05-20T01:51:51
17,30323,-574,-1557,3363,-555,-948,69,-90.08200073242188,165.8560028076172,-48.154666900634766,-2267.359375,-1256.25732421875,2861.88525390625,True,/last_run.bin,120028,2026-05-20T01:51:51
18,30325,-558,-1537,3278,-554,-883,60,-90.08200073242188,165.8560028076172,-48.154666900634766,-2267.359375,-1256.25732421875,2861.88525390625,True,/last_run.bin,120028,2026-05-20T01:51:51
19,30327,-562,-1493,3195,-548,-783,58,-90.08200073242188,165.8560028076172,-48.154666900634766,-2267.359375,-1256.25732421875,2861.88525390625,True,/last_run.bin,120028,2026-05-20T01:51:51
20,30329,-571,-1452,3143,-542,-661,68,-90.08200073242188,165.8560028076172,-48.154666900634766,-2267.359375,-1256.25732421875,2861.88525390625,True,/last_run.bin,120028,2026-05-20T01:51:51
21,30331,-573,-1400,3122,-539,-531,83,-90.08200073242188,165.8560028076172,-48.154666900634766,-2267.359375,-1256.25732421875,2861.88525390625,True,/last_run.bin,120028,2026-05-20T01:51:51
22,30333,-566,-1371,3134,-529,-398,105,-90.08200073242188,165.8560028076172,-48.154666900634766,-2267.359375,-1256.25732421875,2861.88525390625,True,/last_run.bin,120028,2026-05-20T01:51:51
23,30335,-558,-1367,3173,-514,-272,131,-90.08200073242188,165.8560028076172,-48.154666900634766,-2267.359375,-1256.25732421875,2861.88525390625,True,/last_run.bin,120028,2026-05-20T01:51:51
24,30337,-554,-1361,3185,-492,-158,154,-90.08200073242188,165.8560028076172,-48.154666900634766,-2267.359375,-1256.25732421875,2861.88525390625,True,/last_run.bin,120028,2026-05-20T01:51:51
25,30339,-561,-1358,3205,-463,-54,176,-90.08200073242188,165.8560028076172,-48.154666900634766,-2267.359375,-1256.25732421875,2861.88525390625,True,/last_run.bin,120028,2026-05-20T01:51:51
26,30341,-569,-1368,3226,-430,44,200,-90.08200073242188,165.8560028076172,-48.154666900634766,-2267.359375,-1256.25732421875,2861.88525390625,True,/last_run.bin,120028,2026-05-20T01:51:51
27,30343,-589,-1391,3242,-398,134,223,-90.08200073242188,165.8560028076172,-48.154666900634766,-2267.359375,-1256.25732421875,2861.88525390625,True,/last_run.bin,120028,2026-05-20T01:51:51
28,30345,-603,-1412,3260,-369,215,244,-90.08200073242188,165.8560028076172,-48.154666900634766,-2267.359375,-1256.25732421875,2861.88525390625,True,/last_run.bin,120028,2026-05-20T01:51:51
29,30347,-606,-1456,3270,-343,291,264,-90.08200073242188,165.8560028076172,-48.154666900634766,-2267.359375,-1256.25732421875,2861.88525390625,True,/last_run.bin,120028,2026-05-20T01:51:51
30,30349,-581,-1517,3273,-323,366,278,-90.08200073242188,165.8560028076172,-48.154666900634766,-2267.359375,-1256.25732421875,2861.88525390625,True,/last_run.bin,120028,2026-05-20T01:51:51
